Flight No.,Timestamp,Altitude,Latitude,Longitude,New Cluster,New Order
AA101,1530277200,39000.0,50.9,-38.7,0,155
AA109,1530277200,33000.0,60.3,-12.2,0,171
AA111,1530277200,39000.0,52.7,-18.1,0,113
AA113,1530277200,37000.0,43.0,-11.1,0,182
AA151,1530277200,36400.0,47.0,-27.7,0,32
AA198,1530277200,0.0,39.9,-73.0,0,18
AA199,1530277200,37000.0,53.1,-23.8,0,42
AA204,1530277200,0.0,40.2,-73.6,0,22
AA209,1530277200,38000.0,58.2,-59.0,0,216
AA221,1530277200,34000.0,59.7,-51.8,0,150
AA25,1530277200,34000.0,51.2,-43.2,0,165
AA258,1530277200,0.0,39.2,-8.13,0,198
AA259,1530277200,34000.0,42.7,-22.2,0,29
AA291,1530277200,34900.0,49.9,-45.6,0,47
AA37,1530277200,36000.0,44.0,-40.3,0,214
AA39,1530277200,32000.0,53.2,-9.8,0,211
AA45,1530277200,35600.0,48.9,-44.8,0,48
AA47,1530277200,40000.0,54.8,-67.5,0,11
AA51,1530277200,34000.0,48.5,-52.1,0,52
AA53,1530277200,35000.0,53.2,-21.8,0,79
AA57,1530277200,33000.0,49.4,-49.0,0,204
AA67,1530277200,38000.0,43.5,-46.0,0,157
AA705,1530277200,39000.0,48.4,-52.7,0,53
AA71,1530277200,30000.0,61.0,-35.1,0,85
AA715,1530277200,37000.0,50.0,-12.6,0,126
AA717,1530277200,38000.0,51.4,-41.4,0,161
AA719,1530277200,34000.0,46.5,-16.1,0,197
AA721,1530277200,34800.0,45.4,-22.4,0,109
AA723,1530277200,31000.0,52.7,-31.6,0,80
AA725,1530277200,38000.0,49.4,-52.6,0,54
AA731,1530277200,33000.0,53.4,-21.1,0,77
AA735,1530277200,34000.0,53.0,-24.1,0,41
AA741,1530277200,37700.0,42.9,-18.7,0,196
AA743,1530277200,37000.0,44.0,-11.9,0,181
AA745,1530277200,33000.0,43.3,-3.04,0,133
AA749,1530277200,38700.0,42.9,-23.4,0,28
AA751,1530277200,38000.0,53.0,-30.5,0,192
